Drug,N_CellLines,Pearson_r,P_value,NegCorr
LINIFANIB,12,0.4292596041593022,0.16375634790460752,False
VINBLASTINE,12,-0.3027377774455633,0.17085211068781878,True
TPCA-1,12,-0.422086166838446,0.17169136222027825,True
"KIN001-260, BAYER IKKB INHIBITOR",12,-0.4194779233826448,0.17463528871921227,True
AMUVATINIB,11,0.4405852579012807,0.17500952225541466,False
EX-527,11,0.43964762411565417,0.1760370391108468,False
EPZ-5676,10,0.46464723305410327,0.17606054739641383,False
CZC24832,7,0.5716354926430922,0.18000789305321152,False
LDN-193189,13,0.38846547068067283,0.18960470575882157,False
AFATINIB,12,-0.22918630593687558,0.19229393371613537,True
PAZOPANIB,11,0.4223561757914262,0.19564753413805025,False
UNC1215,12,0.39720586474852554,0.20105900524906128,False
WZ3105,12,0.39528857259015837,0.20344173515742617,False
SORAFENIB,10,0.39352114145642525,0.20565344536471522,False
QL-XI-92,12,-0.3930439924566117,0.20625303941384673,True
TORIN-2,12,0.3915346465044081,0.20815672340193533,False
TG-101348,12,0.3912115598349599,0.20856560597798987,False
DOCETAXEL,12,-0.2385912097768506,0.21260600247104708,True
QL-VIII-58,7,0.5353971822423691,0.21554168227053347,False
SELUMETINIB,12,0.2600342487813481,0.21976903212688476,False
AGI-6780,13,0.27748665752898605,0.23621821181049762,False
WNT-C59,13,0.276914033708598,0.237226611431327,False
BPD-00008900,10,0.4108581377161822,0.2382128066043761,False
PD-184352,12,0.3627723145804641,0.2464724897616726,False
"ZOLEDRONATE, ZOLEDRONIC ACID, ZOMETA, RECLAST",7,0.5020320853051444,0.250933857795026,False
AT-7519,12,0.35914390259031,0.2515812238748491,False
DINACICLIB,7,-0.5011566881887737,0.2518960398913327,True
HG-5-88-01,7,0.501012849961332,0.2520542998863636,False
VE-822,7,0.5004007665990441,0.25272826382124297,False
"SCH772984, CS-1421",10,0.398705084376794,0.2537540148796847,False
WIKI4,10,0.3983517724281521,0.2542140231030355,False
SB52334,12,-0.35711597863304345,0.2544633032433496,True
VORINOSTAT,12,0.25291981584212275,0.25610813172198765,False
SB-590885,12,0.35537362785772125,0.25695486383345933,False
NINTEDANIB,13,0.3316293665672482,0.26832517400597433,False
THAPSIGARGIN,11,0.365058890977887,0.26962572111697786,False
PELITINIB,12,0.34616161921226185,0.27036323281624297,False
CISPLATIN,12,0.24520442684569402,0.2713866103217433,False
