Gene,Gene_HGNC,Sample,CNA,Protein
1004,CDH6,TCGA-13-1494-01,0,-0.5041
1004,CDH6,TCGA-13-1497-01,1,-1.0362
1004,CDH6,TCGA-13-1500-01,0,0.0347
1004,CDH6,TCGA-13-1501-01,1,0.7162
1004,CDH6,TCGA-13-1504-01,1,-0.3182
1004,CDH6,TCGA-13-1507-01,1,1.3849
1004,CDH6,TCGA-13-1511-01,0,-1.2062
1004,CDH6,TCGA-13-2059-01,-1,-0.744
1004,CDH6,TCGA-13-2060-01,-1,-1.3426
1004,CDH6,TCGA-13-2061-01,1,-1.1935
1004,CDH6,TCGA-13-2065-01,1,-0.6557
1004,CDH6,TCGA-23-1121-01,1,0.2322
1004,CDH6,TCGA-23-1122-01,1,-0.1266
1004,CDH6,TCGA-24-1103-01,1,-0.2617
1004,CDH6,TCGA-24-1416-01,0,-0.6103
1004,CDH6,TCGA-24-1422-01,-1,-0.5701
1004,CDH6,TCGA-24-1430-01,0,0.2663
1004,CDH6,TCGA-24-1431-01,0,0.319
1004,CDH6,TCGA-24-1435-01,1,0.2653
1004,CDH6,TCGA-24-1436-01,1,0.0384
1004,CDH6,TCGA-24-1464-01,-1,1.0071
1004,CDH6,TCGA-24-1474-01,1,-0.7803
1004,CDH6,TCGA-24-1544-01,1,0.4416
1004,CDH6,TCGA-24-1548-01,-1,0.3874
1004,CDH6,TCGA-24-1553-01,1,0.4466
1004,CDH6,TCGA-24-1555-01,1,0.7319
1004,CDH6,TCGA-24-1557-01,2,-0.6579
1004,CDH6,TCGA-24-1558-01,0,-1.472
1004,CDH6,TCGA-24-1562-01,0,-0.3449
1004,CDH6,TCGA-24-1565-01,0,-1.6108
1004,CDH6,TCGA-24-1920-01,0,-0.3476
1004,CDH6,TCGA-24-1927-01,0,-1.2249
1004,CDH6,TCGA-24-2024-01,0,0.407
1004,CDH6,TCGA-24-2030-01,1,0.4604
1004,CDH6,TCGA-24-2033-01,0,-0.4316
1004,CDH6,TCGA-24-2261-01,0,-0.1143
1004,CDH6,TCGA-24-2289-01,1,-0.0371
1004,CDH6,TCGA-24-2290-01,0,-0.8262
1004,CDH6,TCGA-24-2298-01,1,0.6059
1004,CDH6,TCGA-25-1312-01,-1,-0.7483
1004,CDH6,TCGA-25-1313-01,1,0.9454
1004,CDH6,TCGA-25-1318-01,1,1.3253
1004,CDH6,TCGA-25-1322-01,2,-0.042
1004,CDH6,TCGA-25-1323-01,-1,0.0413
1004,CDH6,TCGA-25-1329-01,1,-0.2094
1004,CDH6,TCGA-25-1623-01,2,0.8783
1004,CDH6,TCGA-25-1628-01,0,0.1643
1004,CDH6,TCGA-25-1631-01,1,-0.1216
1004,CDH6,TCGA-25-2396-01,1,-0.8716
1004,CDH6,TCGA-25-2397-01,1,1.2378
1004,CDH6,TCGA-25-2399-01,0,0.7249
1004,CDH6,TCGA-25-2404-01,1,-1.2865
1004,CDH6,TCGA-29-1688-01,1,-0.5018
1004,CDH6,TCGA-29-1690-01,0,0.4803
1004,CDH6,TCGA-29-1693-01,0,0.9992
1004,CDH6,TCGA-29-1696-01,0,-0.6425
1004,CDH6,TCGA-29-1697-01,1,0.359
1004,CDH6,TCGA-29-1698-01,0,-0.5517
1004,CDH6,TCGA-29-1702-01,-1,-0.8764
1004,CDH6,TCGA-29-1705-01,0,-0.6584
1004,CDH6,TCGA-29-1710-01,0,-0.341
1004,CDH6,TCGA-29-1711-01,0,-0.7912
1004,CDH6,TCGA-29-1762-01,0,0.4718
1004,CDH6,TCGA-29-1763-01,1,-0.0434
1004,CDH6,TCGA-29-1766-01,2,-0.4601
1004,CDH6,TCGA-29-1768-01,1,-1.2359
1004,CDH6,TCGA-29-1769-01,1,-0.7468
1004,CDH6,TCGA-29-1770-01,2,0.7428
1004,CDH6,TCGA-29-1771-01,0,0.0893
1004,CDH6,TCGA-29-1785-01,0,1.3026
1004,CDH6,TCGA-29-2427-01,0,-0.1507
1004,CDH6,TCGA-29-2431-01,0,-0.6806
1004,CDH6,TCGA-30-1887-01,1,0.4444
1004,CDH6,TCGA-30-1891-01,1,-0.6243
1004,CDH6,TCGA-36-1569-01,-1,-0.9402
1004,CDH6,TCGA-36-1570-01,0,-0.0275
1004,CDH6,TCGA-36-1571-01,0,0.5378
1004,CDH6,TCGA-36-1577-01,0,-1.9108
1004,CDH6,TCGA-36-1578-01,1,0.5113
1004,CDH6,TCGA-36-1580-01,0,-0.1046
1004,CDH6,TCGA-36-2530-01,0,-0.8151
1004,CDH6,TCGA-36-2532-01,0,-0.1744
1004,CDH6,TCGA-36-2534-01,0,-0.8231
1004,CDH6,TCGA-36-2537-01,0,0.9508
1004,CDH6,TCGA-36-2542-01,0,0.2496
1004,CDH6,TCGA-36-2544-01,-1,0.1707
1004,CDH6,TCGA-36-2545-01,1,0.3552
1004,CDH6,TCGA-36-2547-01,1,-0.4075
1004,CDH6,TCGA-36-2549-01,0,-0.2899
1004,CDH6,TCGA-59-2348-01,1,0.4978
1004,CDH6,TCGA-59-2351-01,1,0.0613
1004,CDH6,TCGA-59-2352-01,-1,-1.8761
1004,CDH6,TCGA-59-2372-01,1,0.4536
