Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
FAM83H,286077,0.269268156996587,1.726913543896064e-08,119,0.23872279622409642
CCDC22,28952,0.0212921212121212,0.0343741828533585,119,0.03769100177626383
AAMDC,28971,0.1991135506587914,4.16146249479761e-05,119,0.13425544714275495
C19orf53,28974,0.21967613221329438,9.436715797415912e-08,114,0.22543598082791327
COMMD5,28991,0.0616308720112518,0.0010267831870762573,117,0.08983778519753216
ATAD2,29028,0.10649011868369002,0.004342158892924123,119,0.0674429566787702
BABAM1,29086,0.09315143730886846,7.924410513952262e-05,119,0.12514228641988923
GTF2E2,2961,0.236737802907916,7.194131263260699e-13,119,0.3571896096416921
REPIN1,29803,0.18647687927107048,9.498572044015087e-06,114,0.16126328631730813
CNOT7,29883,0.1440592988263617,1.9600589435084965e-07,119,0.20733703038371276
GNL2,29889,0.11571000767606991,2.5608790008529846e-06,119,0.17292437889592505
HOOK2,29911,0.13525986583184266,4.124631506793524e-06,113,0.1746056436327028
GYG1,2992,0.23126490825688065,5.5295302444747186e-09,119,0.25304994311206974
PYCR2,29920,0.15518655276935794,0.0016939876209363012,119,0.08110767613504788
CERS2,29956,0.18322903169014085,2.444458643932363e-06,119,0.1735581932034006
TNPO2,30000,0.22874831758660708,9.89530950281948e-17,119,0.4468136107954561
HNRNPL,3191,0.0510727397260274,0.00020779723796202087,119,0.11139184011320502
HSF1,3297,0.1870371899886234,4.309328314385942e-12,119,0.33752186697566633
DNAJB1,3337,0.24572066062176157,2.6283682409281818e-21,119,0.5372829352990083
ICAM1,3383,0.19057632245566977,6.034718145176353e-05,119,0.12900434807001115
NRBP2,340371,0.3215439197455346,5.094016923980345e-10,117,0.2863984444609826
IDI1,3422,0.19910366909753865,7.89116947111199e-06,119,0.15747606992660101
PALM3,342979,0.2792409252971138,0.0001518281075875727,119,0.11588156865236832
NMNAT3,349565,0.11508787151005705,0.031229968308666915,119,0.03904698827659503
IL1RAP,3556,0.16735113249148123,8.046634339834092e-05,119,0.12492497283020698
IRF2BP2,359948,0.10670313745019923,3.56981435172992e-06,119,0.16838815936506457
ILF3,3609,0.10456526864474737,9.889855820600356e-08,119,0.216288343635882
INPP5B,3633,0.14391614858906523,7.839412177586498e-05,109,0.13622006131639852
INPPL1,3636,0.22083786173633452,5.4376782736030144e-11,119,0.3086841002231353
ITPR2,3709,0.13951691719409282,0.001953095608679376,119,0.07904218941869146
JUNB,3726,0.11877417966648733,0.007409713997522697,94,0.07537415603380437
JUND,3727,0.10794345859429363,5.7063574741099066e-05,117,0.1319065747694953
GSTK1,373156,0.2501958984375,2.1611001087241368e-07,119,0.20605208596255764
TMEM205,374882,0.17317998886945463,8.90303884163762e-09,119,0.24708789026097278
SLC27A1,376497,0.18007533430839945,0.00015414808641808455,119,0.11566489867942442
KPNA4,3840,0.15433572671888604,1.9591254245394913e-10,119,0.2936562244316122
KRAS,3845,0.12611667573449395,0.004734282941850831,114,0.06905132288341154
NSUN4,387338,0.19901728365951432,2.7068580592765933e-08,119,0.23300042275727806
RBM12B,389677,0.11008909838389566,9.157582403117727e-06,119,0.15541633442777014
NUDT19,390916,0.15382681415929209,0.0002593358938360198,119,0.10821458613078894
LAMA5,3911,0.1598039290048543,0.002265943046757276,119,0.07688545329353336
LDHB,3945,0.27938531042128606,2.464661035236918e-10,119,0.2909325716660325
LGALS7,3963,0.4731189898198904,0.0029312809527678265,55,0.1550996660175883
LMNA,4000,0.20574986979166668,0.0010770873206037929,119,0.08767309320988603
LPP,4026,0.08158920972644375,0.018231001547899372,119,0.04671621915640478
ARNT,405,0.11919830879426976,0.006026319497799327,109,0.06836862388474829
LY6E,4061,0.32092582560296845,0.00011455487278625839,114,0.12492645323412332
LYN,4067,0.09039603437876959,0.04032823890683821,119,0.0354419115004555
TM4SF1,4071,0.2497313861043899,0.00995622222384595,74,0.08871334601868719
M6PR,4074,0.19437137681159417,8.229255427992955e-10,119,0.27646607035497583
ARSA,410,0.12444036664270311,0.041410867139418495,116,0.035980153929208614
MATN2,4147,0.12114409385113273,0.04476890592025622,119,0.03397788998132656
C8orf82,414919,0.37711551763367457,2.506723896550904e-10,119,0.2907314010990608
MBNL1,4154,0.07317550271739129,0.002922600474972245,119,0.07319053037899492
RAB8A,4218,0.22189751738794433,1.9942699198162965e-14,119,0.39490833736947184
ASAH1,427,0.13962528825179188,0.002406130638544057,119,0.07601393770240639
MMP7,4316,0.31247016883831885,7.558521863803509e-05,117,0.1278637664938128
ASPH,444,0.12562696629213488,0.0002954817321132444,119,0.10634070093217263
MSRA,4482,0.14772205539358604,0.00012357906888773058,117,0.12076452850640584
MTR,4548,0.1385730443206587,0.00026235385731464625,119,0.10804850640056585
MTX1,4580,0.07765076423385557,0.024964006444694608,119,0.0422263864331367
MUC1,4582,0.20156245701184566,0.02640870285250067,119,0.0414259705259058
MYO9B,4650,0.14101127676605968,7.784464621511831e-07,119,0.18902193685666435
NASP,4678,0.21720392561983465,7.649787528503909e-05,119,0.12564292010449607
NDUFB9,4715,0.08657333257195073,0.027687551895552682,119,0.040754013632086084
NF1,4763,0.1885918138987044,0.006336383365486796,115,0.06409215942067548
NFIX,4784,0.17763423121008673,2.5678406577373674e-06,119,0.17288738468837295
NFKBIB,4793,0.16364708520179372,8.229407995262195e-05,64,0.22280186003250824
NOP2,4839,0.1678162542406705,2.1411210930533448e-08,119,0.23599032234609518
CNOT4,4850,0.24606536774628887,4.030768420916578e-08,103,0.2590378617747654
NOTCH3,4854,0.1487344155844156,0.006697396252012901,100,0.07263275337158748
NPR1,4881,0.21804350842418238,0.000238864533339554,119,0.10939444305751933
YBX1,4904,0.084477246505436,0.0003183765541689593,119,0.10526808349751382
OPA1,4976,0.24988353293413174,1.7714247693838459e-22,119,0.5579937256444661
RRM2B,50484,0.20632736553784858,4.216388605930233e-05,119,0.134070546252973
PRDX1,5052,0.17508305785123957,5.937591167313914e-09,119,0.2521614157309181
PAK2,5062,0.1889659740691489,7.924680245170252e-19,119,0.490238266771418
ASAP1,50807,0.1290547459375805,7.20305442018152e-06,119,0.15873681565689768
GOLT1B,51026,0.1402784574468085,0.019722191311135128,72,0.07523416568275287
DESI2,51029,0.15339666666666668,0.0008547391577470054,96,0.11210850637768832
YARS2,51067,0.21725532634426784,1.3761319422787086e-07,119,0.21197649124875095
NMD3,51068,0.1645473450057406,5.588628715501684e-07,119,0.1934553218264503
PCM1,5108,0.1730094110314739,8.671174517169662e-07,119,0.1875744072923301
SCCPDH,51097,0.14606556581439387,3.748673877800903e-05,119,0.13572756770623007
PHF20L1,51105,0.1603086191923578,0.0040522052204633565,95,0.08542458084166338
COMMD2,51122,0.12219741891891893,0.015618313748320452,117,0.049768472435323785
ZNF706,51123,0.13237245008094983,0.0021589691860094988,114,0.08092185195955681
DBR1,51163,0.12642206231453998,2.2896574904033935e-06,119,0.17444873792838878
