Protein,MissingPercent
TLCD1,68.59903381642512
PCMTD2,68.59903381642512
PCDH19,68.59903381642512
HS6ST1,68.59903381642512
CBX2,68.59903381642512
MKNK2,68.59903381642512
APOC4,68.59903381642512
SMURF1,68.59903381642512
RNF41,68.59903381642512
TRIM68,68.59903381642512
HEG1,68.59903381642512
TCF3,68.59903381642512
GALNT11,68.59903381642512
ATP8B2,68.59903381642512
C11orf52,68.59903381642512
ELK1,68.59903381642512
DTX3,68.59903381642512
FBXO30,68.59903381642512
STK19,68.11594202898551
RAD54L2,68.11594202898551
PIGA,68.11594202898551
ZNF568,68.11594202898551
UGT8,68.11594202898551
C8orf37,68.11594202898551
KCTD9,68.11594202898551
ANKRD22,68.11594202898551
SOX13,68.11594202898551
ZNF493,68.11594202898551
IFNGR1,68.11594202898551
PTPN3,68.11594202898551
FGFR3,68.11594202898551
STEAP4,68.11594202898551
EZH1,67.6328502415459
ZSCAN2,67.6328502415459
TMEM260,67.6328502415459
C2CD3,67.6328502415459
SEMA3B,67.6328502415459
HIVEP1,67.6328502415459
ADCY6,67.6328502415459
RCBTB1,67.6328502415459
KIAA0195,67.6328502415459
SUPT3H,67.6328502415459
RAPGEF3,67.6328502415459
SDCCAG8,67.14975845410628
SERGEF,67.14975845410628
ALOX15,67.14975845410628
ALKBH3,67.14975845410628
ZNF414,67.14975845410628
SDC3,67.14975845410628
RNASE2,67.14975845410628
TNFAIP3,67.14975845410628
RGL3,67.14975845410628
MBTD1,67.14975845410628
GTPBP2,67.14975845410628
FAM57A,67.14975845410628
CSGALNACT2,67.14975845410628
EPC1,67.14975845410628
DUS2,67.14975845410628
SLC35F2,66.66666666666666
PTGES,66.66666666666666
RYR2,66.66666666666666
SACS,66.66666666666666
EFNA5,66.66666666666666
OSBPL6,66.66666666666666
CCDC117,66.66666666666666
DNAJB7,66.66666666666666
ADAMTS12,66.66666666666666
BCL11A,66.66666666666666
CTDSPL,66.66666666666666
SEMA3C,66.18357487922705
FAM171A2,66.18357487922705
FRAS1,66.18357487922705
RP9,66.18357487922705
SSH1,66.18357487922705
ZNF358,66.18357487922705
GPM6B,66.18357487922705
CALCRL,66.18357487922705
ZNF827,66.18357487922705
SYBU,66.18357487922705
FGFR1,66.18357487922705
SNX24,66.18357487922705
ZFAND3,66.18357487922705
SERPINE1,66.18357487922705
AGMAT,66.18357487922705
SKP2,66.18357487922705
AK7,65.70048309178745
MAML2,65.70048309178745
QPCT,65.70048309178745
MTUS1,65.70048309178745
SPP2,65.70048309178745
KRT86,65.70048309178745
SIX1,65.70048309178745
MSL3,65.70048309178745
CCP110,65.70048309178745
ASXL2,65.70048309178745
ADAL,65.70048309178745
OBP2A,65.70048309178745
SPRY1,65.70048309178745
MEX3D,65.70048309178745
GPX5,65.21739130434783
PNMAL1,65.21739130434783
PVR,65.21739130434783
FLCN,65.21739130434783
KLHL36,65.21739130434783
SLC23A2,65.21739130434783
ARAP3,65.21739130434783
KMT2E,65.21739130434783
SEPN1,65.21739130434783
FADS1,65.21739130434783
CLK1,65.21739130434783
SPHK2,65.21739130434783
DNALI1,65.21739130434783
SDS,65.21739130434783
KXD1,65.21739130434783
TENM3,65.21739130434783
PLEKHG2,64.73429951690821
SECISBP2L,64.73429951690821
PHC1,64.73429951690821
PITPNM3,64.73429951690821
PLCXD3,64.73429951690821
COBL,64.73429951690821
LIN54,64.73429951690821
MPND,64.73429951690821
MMP8,64.73429951690821
USP42,64.73429951690821
VNN1,64.25120772946859
MYO3B,64.25120772946859
SPRYD3,64.25120772946859
KIAA1109,64.25120772946859
POT1,64.25120772946859
TUSC2,64.25120772946859
AMACR,64.25120772946859
FAM117B,64.25120772946859
PRR14L,64.25120772946859
C19orf12,64.25120772946859
TIPIN,64.25120772946859
SH3RF1,63.76811594202898
NAPEPLD,63.76811594202898
POMT2,63.76811594202898
POLK,63.76811594202898
R3HDM2,63.76811594202898
PPAPDC2,63.76811594202898
SUCO,63.76811594202898
FOXRED2,63.76811594202898
PLA2G16,63.76811594202898
PEX2,63.76811594202898
MFHAS1,63.76811594202898
SPTY2D1,63.76811594202898
GPN3,63.76811594202898
STEAP2,63.76811594202898
LPHN1,63.76811594202898
FNIP1,63.28502415458937
SALL2,63.28502415458937
CLK4,63.28502415458937
SS18L2,63.28502415458937
ZMYND10,63.28502415458937
CERS4,63.28502415458937
TYSND1,63.28502415458937
IRF5,63.28502415458937
FOXJ2,63.28502415458937
CPLX2,63.28502415458937
PDE1A,63.28502415458937
C8orf76,63.28502415458937
CDCA8,62.80193236714976
