Pathway,Gene
regulation of programmed cell death,ZFP36L1
regulation of programmed cell death,XRCC2
regulation of programmed cell death,APC
regulation of programmed cell death,RICTOR
protein metabolic process,EIF4G1
protein metabolic process,PAK4
protein metabolic process,ARFGEF1
protein metabolic process,IGF2BP2
protein metabolic process,DHX36
protein metabolic process,PSMD8
protein metabolic process,ECT2
protein metabolic process,AKT2
protein metabolic process,EZH2
protein metabolic process,NCBP2
protein metabolic process,ERC1
protein metabolic process,WWTR1
protein metabolic process,UBXN7
protein metabolic process,LSM14A
protein metabolic process,FBXL6
