Gene,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
BBX,0.12932933509633543,0.0001787913834932105,117,0.11540839095576694
CCNL1,0.08258656139220108,0.03810471005489648,111,0.03885833266686456
PSMC4,0.03820874220872624,0.0007124777122354026,119,0.09365380128309864
PSMD2,0.08084813197476953,5.398466816969064e-06,119,0.16271225914594045
PSMD4,0.027324238178633956,0.1406000068795452,119,0.018465543225665626
RAB25,0.19853521962801743,0.07646057752879522,117,0.027038340356898227
LYRM4,0.07022841596130597,0.14328640589997343,72,0.030352982702247067
MRPL47,0.053374516908212544,0.24150801326508642,117,0.011908878444620075
PSMD8,0.03906634154141349,0.005915228051028401,119,0.06295828730672104
SLC44A2,0.19447390699830072,3.2615259543341385e-08,119,0.2306158354716178
ACTR3B,0.12211915433403803,0.015767560611829035,96,0.06043236476869107
PBXIP1,0.26285169187898094,7.946486283070035e-06,119,0.15737948451492434
MRS2,0.22920686603600848,1.8624357986408285e-06,74,0.2722975532044708
S100A14,0.23183754397185805,0.057935008051334336,119,0.030390949132503953
GATAD2B,0.10934489339752407,1.6637438517893283e-05,119,0.14711558953699344
PTK2,0.23352775000000006,1.8191707556384273e-15,119,0.41889414857104246
ZNF512B,0.2638900741489721,7.911896847291135e-09,119,0.24856931276928085
ESYT2,0.13644039592316745,1.0530723308930875e-08,119,0.24497582926459804
CGN,0.1883799299474605,9.882990529897265e-05,119,0.12200317222181711
PTK7,0.08925797919433379,0.008523990184712487,119,0.0576672283836559
NCEH1,0.15798218517497936,0.0035325399146890653,119,0.07043844007880595
IFT80,0.029427657873701038,0.5905721759942543,98,0.0030262727782871535
DOCK6,0.12641881067961164,2.1736878773492806e-05,119,0.1433793812176316
ZNF687,0.075800290866783,0.013408359659218475,114,0.053359757566636135
PTMS,0.20495358214928963,2.4851341141858797e-06,119,0.17333342590106704
PTN,0.03396198195442729,0.7275070903681655,108,0.0011501579548445218
GRAMD1A,0.13179109096938213,4.452919790468575e-05,112,0.14118989791334868
PTPN6,0.1121123129115945,0.0009205263029692814,119,0.08994763787176285
