Biomarker,Target,Tractability_Flags,Tractability_Interpretation,Known_Drugs,Approved Drug,Advanced Clinical,Phase 1 Clinical,Clinical Precedence,Structure with Ligand,High-Quality Ligand,High-Quality Pocket,Druggable Family
RSF1,SUZ12,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
RSF1,TAFAZZIN,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,TIMM17A,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,TOE1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,TOMM20,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
RSF1,TRUB2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,TTF2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RSF1,UQCRC2,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
RSF1,ZNF780B,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
PEPD,BRPF1,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
PEPD,KRT8,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
PEPD,PARD6B,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
