Biomarker,Biomarker_HGNC,Endpoint,N_patients,N_amplified,N_not_amplified,Amp_frequency,Univariate_HR,Univariate_coef,Univariate_p,Univariate_CI_lower,Univariate_CI_upper,Adjusted_HR,Adjusted_coef,Adjusted_p,Adjusted_CI_lower,Adjusted_CI_upper,Univariate_FDR,Adjusted_FDR
5062,PAK2,PFS,469,78,391,0.1663113006396588,0.8769357529789708,-0.1313215470141037,0.3792060654997593,0.6544121589738378,1.175125346171232,0.8864383728443243,-0.1205436732624082,0.4201933928974084,0.6612385620317671,1.188335094124688,0.9790247257982192,0.8908228531612116
22916,NCBP2,PFS,469,78,391,0.1663113006396588,0.8769357529789708,-0.1313215470141037,0.3792060654997593,0.6544121589738378,1.175125346171232,0.8864383728443243,-0.1205436732624082,0.4201933928974084,0.6612385620317671,1.188335094124688,0.9790247257982192,0.8908228531612116
83696,TRAPPC9,PFS,469,130,339,0.2771855010660981,1.056498531686898,0.0549601682830398,0.6491786245645298,0.8337370882466134,1.3387783309531875,1.1048986681076192,0.0997536276947046,0.4229633711758431,0.865675971397938,1.4102286619028812,0.9880143424235552,0.8908228531612116
24148,PRPF6,PFS,469,33,436,0.0703624733475479,0.8417520234073573,-0.1722698171334979,0.4276842873752177,0.5499309840691732,1.288427983576309,0.8406809231343302,-0.1735430927430101,0.4243582678042745,0.5491902576427222,1.2868844716137784,0.9790247257982192,0.8908228531612116
23167,EFR3A,PFS,469,136,333,0.2899786780383795,1.0648656588002172,0.0628486492331938,0.5989219156095675,0.8425202914407374,1.3458890934875265,1.0999638757282713,0.0952773390180459,0.4330285512870769,0.8668358537166894,1.395789667351025,0.9790247257982192,0.8908228531612116
11156,PTP4A3,PFS,469,121,348,0.2579957356076759,1.0606770615782042,0.0589074415560343,0.631994481295324,0.8334608653060823,1.349836417988279,1.102518522697575,0.0975971288304561,0.4378183850589784,0.8616174552324661,1.4107735231098426,0.9813691688903956,0.8908228531612116
9166,EBAG9,PFS,469,87,382,0.185501066098081,1.084422460790451,0.0810475510712213,0.559839216316884,0.8258142823904848,1.4240151793726912,1.110208148431448,0.1045475188537699,0.4549926584900959,0.84390184603516,1.4605515305298091,0.9790247257982192,0.8908228531612116
5184,PEPD,PFS,469,37,432,0.0788912579957356,1.1804208098303597,0.1658709934046145,0.4264292027571273,0.7843512208475255,1.7764915145729483,1.1683804371097175,0.1556185480753908,0.4557892183313459,0.7761975512171603,1.7587183104095765,0.9790247257982192,0.8908228531612116
23094,SIPA1L3,PFS,469,40,429,0.0852878464818763,1.186195493040861,0.1707511209218137,0.3666722883290657,0.8187488583229691,1.718548653115084,1.1515535615934605,0.1411119538242392,0.4589096253471392,0.7926984168250558,1.6728626891041734,0.9790247257982192,0.8908228531612116
9777,TM9SF4,PFS,469,29,440,0.0618336886993603,1.1795124976615547,0.1651012155377794,0.4458960844284466,0.7715083745542631,1.8032853278405303,1.172553100731108,0.1591835087828336,0.4624181895456604,0.7669200784004081,1.7927301850041173,0.9790247257982192,0.8908228531612116
84248,FYTTD1,PFS,469,79,390,0.1684434968017057,0.8843949500966052,-0.1228515399918493,0.4072213509062176,0.6614136619769589,1.1825495491256182,0.8967976313764536,-0.1089250484225302,0.4635292383906491,0.6702127911209683,1.1999860377138898,0.9790247257982192,0.8908228531612116
7037,TFRC,PFS,469,80,389,0.1705756929637526,0.8878834910095502,-0.1189147484160149,0.4224631860035653,0.6640035535653258,1.1872483051850835,0.8981696552231191,-0.107396302885921,0.4694962395461288,0.6713839319039694,1.2015609716423823,0.9790247257982192,0.8908228531612116
51067,YARS2,PFS,469,24,445,0.0511727078891258,0.8602749690525854,-0.1505032093812985,0.5367354070999844,0.533654772637854,1.3868010937487694,0.8401951081457849,-0.1741211425135251,0.4755611149971656,0.5207664108347163,1.355555590884986,0.9790247257982192,0.8908228531612116
