Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared,P-value (FDR),Significant (FDR<0.05)
CDC37,11140,0.23368196622436674,1.883121020007884e-20,119,0.521560181246709,5.1785828050216806e-18,True
WDR45,11152,0.013371276018099563,0.6880795264609192,82,0.002025228294309067,0.7427747586918656,False
PTP4A3,11156,0.1569631944444445,0.044022194175735184,104,0.03916885901013434,0.06633481314151876,False
MAP4K1,11184,0.07477915451895042,0.397138723049289,60,0.012391096412866509,0.4717630619376003,False
ABCB8,11194,0.19979760765550236,3.620299759442491e-08,117,0.23277519394788748,1.9812585748192736e-07,True
CHKB,1120,0.08512893157262905,0.046376146392745045,109,0.03657065799357928,0.0695958540682395,False
CHML,1122,0.0050680597014925235,0.9382639914512481,48,0.00013182529459487835,0.949122147210792,False
PRAF2,11230,0.07420849701110162,0.15693650049799338,108,0.01881098518345725,0.20624868643702834,False
PDCD10,11235,0.03441483568075117,0.23281391068774487,119,0.012145109999641135,0.29538097088410536,False
RNF139,11236,0.04264142528735637,0.6857698229988565,56,0.0030550533826763093,0.7410086496058371,False
ZHX1,11244,0.14848498349834977,0.0009472280148192933,68,0.15364535989523032,0.0020192845277155476,True
NACC1,112939,0.2119630345885159,3.7296744239942845e-08,119,0.22889595348213054,2.0310108249473828e-07,True
MED8,112950,-0.014532409231635235,0.6120157430639453,109,0.0024125495028624044,0.6766003189651657,False
VPS45,11311,0.09421718038528894,0.0007303860533437689,119,0.09329491224673625,0.0015877957681386281,True
COPE,11316,0.007999028400597897,0.6657856660252695,119,0.0016001739144203553,0.7279962550972131,False
C12orf57,113246,0.09756501696268206,0.0024059037425911128,119,0.0760153068716366,0.004751784025850023,True
PHB2,11331,0.14232756934743557,2.0133115659462783e-06,119,0.17619732655314313,7.66312360740798e-06,True
EXOC3,11336,0.035178072033898306,0.013194840252709566,119,0.05136047131071908,0.02240094735114216,True
MFSD3,113655,0.46634117647058815,6.961771401515994e-07,53,0.38578969783226713,2.9681971091734857e-06,True
PGLYRP2,114770,-0.03350896254167479,0.47915132744537936,119,0.004289391374121432,0.5536412396952912,False
C1QTNF3,114899,0.20810462863293863,0.12209905065255014,101,0.023973257189097152,0.1666364214861106,False
CCDC124,115098,0.2347473844812554,1.9014523039036296e-10,119,0.2940100272398256,1.9167361704622784e-09,True
TBCB,1155,0.31476585475462876,2.049068725368929e-17,119,0.4613631068662275,1.6099825699327298e-15,True
CTHRC1,115908,0.28407608695652176,0.005971890886329915,119,0.06282008034663011,0.010720304758771846,True
FOXP4,116113,0.291254561251086,3.279456030389848e-05,88,0.18267159818525336,9.697316218894711e-05,True
COX20,116228,0.19711096311475423,9.183472795404717e-06,117,0.15786451020798997,2.9711235514544672e-05,True
CKS1B,1163,0.09951703950499757,0.11678193534098227,111,0.022416904015224226,0.16138207145110617,False
ARAP1,116985,0.1065512784701332,0.0004562896601850556,119,0.10008688371687724,0.0010285217750072974,True
AGAP3,116988,0.1769307545655228,8.183570628208436e-08,113,0.22915085925731693,4.148353774667871e-07,True
